id;start_date;end_date;number_day_absence;type_absence;confirmation_absence;conge_restant
1;2024-01-18T16:34:12;2024-01-19T04:29:58;1945;ABSENCE_JUSTIFIE;REJETE;27254
2;2024-01-18T12:49:57;2024-01-18T16:02:17;3188;CONGES_PARTENITE;ENCOURS;29969
3;2024-01-18T21:24:35;2024-01-18T11:39:14;26827;RTT;ENCOURS;3251
4;2024-01-18T11:03:47;2024-01-18T23:13:26;18515;ACCIDENT_TRAVAIL;ENCOURS;24927
5;2024-01-18T20:26:43;2024-01-18T16:10:32;22477;RTT;ACCEPTE;22016
6;2024-01-19T06:57:39;2024-01-19T02:28:52;15205;CONGE_MATERNITE;REJETE;2049
7;2024-01-19T08:12:01;2024-01-19T00:25:16;10789;RECUPERATION;ENCOURS;22378
8;2024-01-19T05:13:05;2024-01-19T08:38:12;13436;ACCIDENT_TRAVAIL;ENCOURS;13916
9;2024-01-19T03:16:20;2024-01-18T17:42:18;7320;ARRET_MALADIE;REJETE;29736
10;2024-01-18T14:21:47;2024-01-18T11:49:10;8389;CHOMAGE_PARTIEL;REJETE;28755
