id;contract_type;entry_date;release_date;status_contract;upload_contract;upload_contract_content_type
1;APPRENTICE;2024-01-19T05:04:55;2024-01-18T10:21:22;FIN_CONTRAT;../fake-data/blob/hipster.png;image/png
2;CDD;2024-01-18T16:45:32;2024-01-19T01:32:44;FIN_CONTRAT;../fake-data/blob/hipster.png;image/png
3;INTERN;2024-01-18T15:49:10;2024-01-19T09:26:11;FIN_CONTRAT;../fake-data/blob/hipster.png;image/png
4;EXTERNAL;2024-01-19T06:15:22;2024-01-18T16:23:54;ENCOURS;../fake-data/blob/hipster.png;image/png
5;INTERN;2024-01-18T11:11:30;2024-01-18T14:46:25;LICENCIEMENT_ABUSIVE;../fake-data/blob/hipster.png;image/png
6;CDI;2024-01-19T02:25:31;2024-01-18T13:59:09;RUPTURE_CONVENTIONNELLE;../fake-data/blob/hipster.png;image/png
7;APPRENTICE;2024-01-19T07:32:29;2024-01-19T04:46:04;LICENCIEMENT_ABUSIVE;../fake-data/blob/hipster.png;image/png
8;INTERN;2024-01-19T07:25:02;2024-01-18T20:20:50;LICENCIEMENT_ECONOMIQUE;../fake-data/blob/hipster.png;image/png
9;APPRENTICE;2024-01-18T16:55:55;2024-01-18T11:56:03;FIN_CONTRAT;../fake-data/blob/hipster.png;image/png
10;CDD;2024-01-18T13:18:56;2024-01-18T19:41:10;ENCOURS;../fake-data/blob/hipster.png;image/png
