id;company_name;business_register_number;unique_identification_number;business_domicile;email;business_phone;country;city;business_logo;business_logo_content_type;map_locator;map_locator_content_type
1;en dépit de au-dehors gratis;athlète peu hirsute;réunir actionnaire;vétuste;"?nW]@YWau!?.V";super fixer;COTE_IVOIRE;La Rochelle;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
2;pourvu que quand ? oups;fade circulaire du fait que;ci;sédentaire ouille aïe;"]8O1MO@n).}Dc4b]";creuser environ vétuste;SENEGAL;Saint-Étienne;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
3;soudain sitôt que;tellement;calme envers chef;dehors;"LihV@)I.Pt`.!=E";horrible badaboum ouch;COTE_IVOIRE;Rueil-Malmaison;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
4;sans que spécialiste;au prix de dense former;tantôt membre titulaire;arrière retomber hausser;"}a:r!@l7./>O'X]";de crainte que athlète;CAMEROON;Saint-Nazaire;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
5;partenaire;bien coac coac tomber;ouah;dessous adepte derrière;"j@,Q{v.=Dr9|G";au défaut de détourner à défaut de ;SENEGAL;Les Abymes;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
6;hi actionnaire ha;main-d’œuvre basculer;là jamais spécialiste;accentuer de façon que;"^TX_fU@B>OhL1.-3";sincère snif lâcher;MALI;Aubervilliers;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
7;ding touriste mélancolique;lâche lorsque;mince gens lentement;à la merci d'abord brusque;"u@,h_.#liEr";prout;MALI;Montauban;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
8;dring commis de cuisine ouille;incalculable;désormais;maigre proche de;"Xh8AN^@AHGVk.LvE$fb";pff;SENEGAL;Strasbourg;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
9;au-dessus de;dehors;plonger;moyennant étant donné que;".*[0=V@y'/E.2h^";insuffisamment à condition que;COTE_IVOIRE;Bourges;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
10;élaborer;pendant que;de crainte que;chut;"a9@PRB6m.B}J%3n";bè;MALI;Villeneuve-d'Ascq;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
