id;spent_date;spent_type;status_charges;amount;comment_text
1;2024-01-18T19:41:23;RENT;ACCEPTED;16633;../fake-data/blob/hipster.txt
2;2024-01-19T02:11:29;ADMINISTRATIVE;IN_PROGRESS;12249;../fake-data/blob/hipster.txt
3;2024-01-18T15:38:17;MARKETING;IN_PROGRESS;12336;../fake-data/blob/hipster.txt
4;2024-01-19T01:38:36;SHIFT;ACCEPTED;22170;../fake-data/blob/hipster.txt
5;2024-01-18T11:10:38;MATERIAL;REJECTED;14870;../fake-data/blob/hipster.txt
6;2024-01-19T01:16:54;MARKETING;REJECTED;11432;../fake-data/blob/hipster.txt
7;2024-01-19T04:27:58;OTHERS;ACCEPTED;28328;../fake-data/blob/hipster.txt
8;2024-01-19T01:45:20;MATERIAL;IN_PROGRESS;14380;../fake-data/blob/hipster.txt
9;2024-01-19T04:14:45;SHIFT;IN_PROGRESS;15795;../fake-data/blob/hipster.txt
10;2024-01-19T05:56:29;ADMINISTRATIVE;REJECTED;4825;../fake-data/blob/hipster.txt
